affiliateid,affiliateguid,affiliatename,affiliatenumber,affiliateabbreviatedname,affiliateacronym,affiliateein,affiliatepercapitapin,billhighwaygroupid,ischartered,charterdate,parentaffiliateid,affiliatetypeid,affiliatedesignationid,affiliategeoreachid,isaffiliateactive,affiliateinactivereasonid,affiliateinactivedate,locationstateabr,regionid,retireeentitytypeid,retireedestinationid,electionmonth,officertermstartmonth,iselectionyearodd,electiontermyears,noncoaupdate,nonationalupdate,nostateupdate,nolanwanupdate,noexternalupdate,affiliatewebsite,isactionnetwork,usesaftmemberid,createdby,createdat,updatedby,updatedat,deletedat
446,87174120-C3FC-46DF-9CEF-D56327FFFB6F,State Vocational Federation of Teachers,4200A,,,,868045,,1,1981-06-01 00:00:00.0,53,4,1,2,1,,,CT,2,5,11827,5,,0,,0,0,0,0,0,http://svft.ct.aft.org/,0,1,1,2001-05-18 18:00:53.0,25,2022-10-07 10:44:42.15,
447,70D6320C-C3D8-4A3D-9A9E-332534735F28,Judicial Professional Employees,4200B,,,,169998,,1,1981-06-01 00:00:00.0,53,4,1,2,1,,,CT,2,5,11828,9,,0,,0,0,0,0,0,http://www.jpeunion.net/,0,1,1,2003-01-15 19:25:43.0,25,2022-10-07 10:44:42.15,
448,9FF880E7-A1F0-4C9F-8373-AB353AE190E3,Louisiana PEG Group,PEGLA,Louisiana Federation of Teachers/PEG,,,486375,,0,,124,4,5,2,1,,,LA,4,5,11845,,,0,,0,0,0,0,0,http://pegla0.la.aft.org/,0,1,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:41.17,
453,E0275EA6-4BCF-11D5-B097-00508B6D7CC3,Santa Paula Federation of Teachers,02071,,SPFT,953652915,749807,,1,1970-07-11 00:00:00.0,24,4,1,2,1,,,CA,6,5,11375,3,,0,,0,0,0,0,0,,0,1,1,2004-11-05 13:51:48.0,25,2022-10-07 10:43:19.44,
463,932318E7-D45A-4E82-BFDA-7A9080992E1F,Harrah Federation of Support Employees,06154,,HFSE,,339037,,1,2001-05-01 00:00:00.0,126,4,1,2,1,,,OK,5,5,11676,4,,0,,0,0,0,0,0,,0,1,1,2001-06-25 10:54:22.0,25,2022-10-07 10:43:19.44,
467,685795A9-B15C-11D5-B09B-00508B6D7CC3,AFT-Wisconsin,08047,AFT-Wisconsin,AFT WI,390963086,142599,118010,1,2020-05-01 00:00:00.0,1,2,1,3,1,,,WI,1,1,470,,,0,,0,0,0,0,0,www.aft-wisconsin.org,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
469,BD96936B-34E2-11D5-B096-00508B6D7CC3,AFT West Virginia,08046,,,550587594,144826,,1,1939-05-02 00:00:00.0,1,2,1,3,1,,,WV,1,5,11805,10,,0,,0,0,0,0,0,http://wv.aft.org,0,1,1,2001-04-19 13:35:36.0,25,2022-10-07 10:43:19.44,
487,D63E1053-3157-11D6-B0A1-00508B6D7CC3,Taos Federation of United School Employees,01450,,TFUSE,856018965,998692,,1,1962-10-18 00:00:00.0,122,4,1,2,1,,,NM,5,5,11322,5,,0,,0,0,0,0,0,http://nm.aft.org/tfuse/,0,1,1,2004-10-15 09:24:51.0,1,2022-09-23 11:22:24.3866667,
490,62805731-C861-46EC-B5A6-34A8E1321129,Kansas Coalition of Public Retirees,0300R,,,,939448,,1,,423,4,4,2,1,,,KS,5,5,11411,,,0,,0,0,0,0,0,,0,1,1,2014-02-14 12:14:51.0,1,2022-09-23 11:22:41.17,
801,3B6C968C-57C7-4B26-A038-E7092C166FDF,Bolivar-Richburg Faculty Association,02512,,BRFA,800389001,544588,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,9,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
802,80C803E4-9C75-46B1-9479-BB13F65984F0,Bradford Teachers Association,02513,,BTA,,312497,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
819,9F5072C2-1D0B-4C72-B75B-7CB127625879,Campbell-Savona Teachers Association,02532,,CSTA,161372361,562890,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,11,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
822,B1B7DF2C-B4F2-44DB-A62F-265EF6DEA492,Canaseraga Tchr Assn,02535,,CTA,472265362,893794,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
825,D722BC64-A5DB-4745-BCC7-6AE96FE0773A,Canisteo-Greenwood Employees Association,02538,,CGEA,205605124,652129,,1,2006-09-01 00:00:00.0,49,4,1,2,1,,,NY,2,,,6,,0,,0,0,0,0,0,,0,0,1,2006-10-03 13:08:39.0,25,2022-10-07 10:43:19.44,
